,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
1337,3,발달상권,2120035,퇴계로5가,10,2.0,1.0,,,,,,,
1338,3,발달상권,2120027,명동역(명동재미로),46,1.0,2.0,2.0,,,,,,
1339,3,발달상권,2120023,서울시청,47,3.0,9.0,,,,,,,
1340,3,발달상권,2120009,종로3가역,163,7.0,6.0,,,,,,,
1341,3,골목상권,2110014,경복고등학교,9,3.0,,,,,,,,
1342,3,전통시장,2130148,방학동도깨비시장,10,,,,,,,,,
1343,3,골목상권,2110109,금호삼성래미안아파트,10,,,,,,,,,
1344,3,전통시장,2130068,마장축산물시장,16,2.0,1.0,,,,,,,
1345,3,골목상권,2110392,발바닥공원,6,,,,,,,,,
1346,3,발달상권,2120094,"신촌역(신촌역, 신촌로터리)",201,3.0,6.0,,1.0,,,,,
1347,3,전통시장,2130110,면목골목시장(면목시장),22,,1.0,,,1.0,,,,
1348,3,골목상권,2110085,경리단길남측,26,5.0,4.0,,,,,,,
1349,3,골목상권,2111062,둔촌동역 3번(성내3동주민센터),11,,,,,,,,,
1350,3,골목상권,2111056,천호태영아파트,9,,,,,,,,,
1351,3,골목상권,2111005,삼전역 3번,13,,,,,,,,,
1352,3,골목상권,2111047,마천1치안센터,12,1.0,,,,,,,,
1353,3,전통시장,2130317,마천중앙시장,9,,,,,,,,,
1354,3,골목상권,2111042,거여역 1번(거여공원),16,1.0,,,,,,,,
1355,3,골목상권,2110606,신한은행 신월동지점,20,,1.0,,,,,,,
1356,3,골목상권,2110400,도봉구보건소,19,2.0,,,,,,,,
1357,3,골목상권,2110002,독립문역 1번,18,2.0,,,,,,,,
1358,3,발달상권,2120065,회기역,37,,,,,,,,,
1359,3,발달상권,2120083,등나무근린공원,33,1.0,2.0,,,,,,,
1360,3,골목상권,2110212,답십리초등학교,25,,,,,,,,,
1361,3,발달상권,2120203,강남구청역,88,2.0,5.0,,,,,,,
