,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
63,1,전통시장,2130269,강남시장(동작구 강남시장),42863,19927,22935,6968,9017,5060,5937,5760,10119,11074,7818,5308,5770,7853,5040,5971,5892,5923,5879,5946,6574,6678
64,1,전통시장,2130268,상도전통시장,415293,193080,222212,62301,76148,51811,57094,59412,108528,110349,90537,48243,48199,69539,48425,57715,56416,57637,56934,58805,63546,64237
65,1,전통시장,2130267,본동인정시장(기능상실),137523,65310,72213,18392,21168,23743,22418,19411,32391,36555,30704,16592,16827,20386,16459,19095,19422,19656,19191,18858,20410,20892
66,1,전통시장,2130266,만양로상점가,89393,51339,38054,5259,38582,18655,8663,7402,10830,20071,16527,11902,12138,17186,11567,12878,13087,13331,13295,13236,12298,11267
67,1,전통시장,2130265,노량진중앙시장,77614,44461,33154,4524,37243,15935,7021,5319,7572,14427,14595,11510,11868,16158,9056,11145,11262,11502,11509,11475,10821,9902
68,1,전통시장,2130264,상도약수골목형상점가,425799,188064,237735,77410,57330,73570,62694,56935,97857,101114,89559,49267,53582,76366,55911,58743,60133,60242,59179,58448,63984,65069
69,1,전통시장,2130263,신노량진시장(기능상실),19498,9278,10220,1512,2847,3455,2549,3302,5832,4583,3699,2246,2428,3747,2796,2783,2752,2748,2770,2763,2794,2887
70,1,전통시장,2130262,상도도깨비 골목형상점가,306099,142864,163234,33473,50499,56706,41191,46437,77795,76165,60299,35308,36092,55156,43081,42621,42758,43123,42774,42758,46142,45920
71,1,전통시장,2130261,성대전통시장(성대시장),355016,159366,195649,38763,58585,60439,50628,54824,91777,62441,59161,46141,54817,81788,50667,50924,50184,50020,50171,51198,52314,50203
72,1,전통시장,2130260,신대방1동골목상권,99460,46311,53149,11380,15005,17230,15606,17899,22341,25521,19719,12556,12669,17476,11520,13612,13743,13617,13613,13757,15413,15707
73,1,전통시장,2130259,대신시장,124705,58427,66278,16398,16862,18928,19956,19715,32849,27032,23740,16572,17489,24517,15355,17837,17480,17745,17335,17703,18439,18166
74,1,전통시장,2130258,영진시장A동,29570,13332,16239,4888,3690,5344,4921,4508,6219,7808,5910,3368,3427,5190,3868,4049,4052,4066,3998,4036,4585,4786
