,버스정류장ARS번호,역명,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
2834,8849,돈암코오롱하늘채아파트(00006),150,2578,760,585,688,135
2835,11604,교육촌.벼루말(00005),132,3688,1129,851,891,197
2836,11605,꿈의숲SK뷰아파트(00006),46,1301,402,254,261,54
2837,11609,꿈의숲SK뷰아파트(00013),57,429,386,504,1411,724
2838,11607,석계역문화공원(00008),227,8257,3191,2781,2726,620
2839,8895,꿈의숲동문앞(00017),26,507,350,620,585,248
2840,8896,꿈의숲대명루첸아파트(00018),7,152,139,168,278,84
2841,8809,선잠로3길입구(00014),0,462,213,208,387,123
2842,8810,선잠로3길입구(00024),0,555,228,219,198,27
2843,8832,래미안장위퍼스트하이아파트(00017),162,1879,820,1148,2556,1148
2844,8932,우남아파트(00001),33,188,153,170,256,87
2845,8591,월곡로데오거리(00002),1,23,23,23,44,11
2846,8940,동덕여대오거리(00003),3,9,36,26,48,15
2847,8955,동덕여대정문앞(00004),0,14,14,36,45,2
2848,8963,두산아파트3단지(00006),3,30,26,16,73,2
2849,8588,동덕여대부속유치원앞(00023),71,1248,837,942,1354,726
2850,8799,돈암코오롱하늘채.일신휴먼빌(00018),58,206,386,695,1221,552
2851,8792,꿈의숲대명루첸아파트(00002),19,2153,409,264,442,92
2852,8877,간대어린이공원(00016),87,198,260,562,1867,908
2853,8878,돌곶이역2번출구(00006),59,7287,1127,878,1082,236
2854,9001,수유3동우체국(00016),7731,41382,19005,19877,24853,7918
2855,9002,수유3동우체국(00051),5513,13161,10601,15040,26457,13333
2856,9003,수유역(00047),6283,32922,20989,20568,23844,7598
2857,9004,수유역.강북구청(00050),25535,82830,62654,86558,148357,71085
2858,9005,수유시장.성신여대미아캠퍼스앞(00008),15187,72164,45464,47409,47517,11527
2859,9006,수유시장.성신여대미아캠퍼스앞(00102),8523,37639,41516,53926,70387,23829
2860,9007,미아역.신일중고(00015),11672,52937,26256,26776,32602,11798
2861,9008,미아역.신일중고(00048),8161,30173,24376,32757,50595,21593
2862,9009,도봉세무서.성북시장(00016),9624,55123,24039,24033,27438,8292
2863,9010,도봉세무서.성북시장(00100),6060,26703,18136,25656,38402,16524
2864,9011,미아사거리역(00033),21009,124279,66101,68639,79774,25776
