기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,골목상권,2110337,아카데미하우스,CS100005,제과점,318050366,161010799,157039567,28462572,36499957,25224374,34323939,36499957,80016926,77022641,,36194862,95759316,102811845,46363065,421321,108861452,155602051,114068,13985001,39317386,91145882,81363879,38537286,*
2022,4,골목상권,2110335,석계역 7번,CS100005,제과점,137275468,86558694,50716774,15985045,18279943,15797189,16955155,19541362,32322014,18394760,605481,16360824,21505363,24615050,51591474,22597276,68943846,68331622,1129169,15626603,30289868,34638434,32998908,22592486,*
2022,4,골목상권,2110331,돌곶이역 8번,CS100005,제과점,604051002,389008078,215042924,75216277,70247115,76998973,75854675,90691038,124705371,90337553,4626331,76074401,101416593,116877839,218833879,86221959,256288728,314650226,7339611,81667969,111281467,142414722,141228477,87006709,3
2022,4,골목상권,2110328,상월곡역 3번,CS100005,제과점,79272964,51649589,27623375,7934558,9049996,8922503,11379306,14363226,14960937,12662438,,11751610,15415573,16310634,26854712,8940435,31718648,47554316,582857,15015253,20184464,19165373,14990828,9334189,3
2022,4,골목상권,2110326,장위동성당,CS100005,제과점,45716436,37306903,8409533,6371598,8861784,9012807,5576133,7484581,8329905,79628,,4408948,11901131,9355569,14656714,5394074,17858383,23213386,318536,5036226,8368375,11503352,8571679,7273601,*
2022,4,골목상권,2110323,상월곡역 1번,CS100005,제과점,130633871,87017657,43616214,12710523,14572075,18739107,17464307,23531645,23432541,20183673,,26228667,23516891,25760151,41516530,13611632,48236581,73369355,1330443,11707104,24394535,36088276,32516069,15569507,4
2022,4,골목상권,2110322,장위1동주민센터,CS100005,제과점,95376976,59204976,36172000,10464460,12020263,11678820,12796088,12245345,20241134,15930866,,12380062,15998391,20690466,37222490,9085567,38813949,56563027,19569,11620755,19636335,24614810,24599524,14885983,*
2022,4,골목상권,2110319,종암동주민센터,CS100005,제과점,737130667,512903763,224226904,92834370,104381410,127246813,87575189,100865981,130927410,93299494,1286599,130222156,151810313,175681469,214673016,63457114,285919257,405087065,3609632,63775802,95063327,203429987,171036621,154090952,6
2022,4,골목상권,2110316,숭곡초등학교,CS100005,제과점,299691427,179003009,120688418,33429502,39779705,43075674,31283231,31434897,71666112,49022306,,47530637,61145393,66365076,86846337,37803984,123902047,156457814,413323,19983402,39253742,104626244,64992115,51091036,3
2022,4,골목상권,2110315,종암아이파크2차,CS100005,제과점,30859899,19240520,11619379,3300936,3843847,3178924,4059692,4857121,7559687,4059692,484153,3590829,5294209,6914848,9871929,4703931,14600377,14971944,278424,2769774,5455365,9872228,7094030,4102500,6
