,호선명,지하철역,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
185,경인선,도원,568446,7255750,3307662,4144815,5175340,1543229
186,6호선,이태원,2145896,15646224,11632666,15665147,30027343,16027021
187,6호선,한강진,407795,11992594,6276131,8399423,15736835,5987214
188,5호선,청구,625375,15143913,5856551,6527716,12742632,4486650
189,2호선,신당,2405598,39102373,19930790,22582884,38687246,14922944
190,1호선,동묘앞,1509908,24719767,24701711,29491335,25580180,7375503
191,6호선,창신,396207,7320280,2346829,2596285,4401435,1807311
192,6호선,보문,841388,16418449,6651216,7238091,13289181,5540907
193,6호선,안암,267506,4364890,2719077,2906970,4838932,2569574
194,6호선,고려대,176809,3897651,1750234,1893409,3333828,1593164
195,6호선,월곡,273597,4996127,2193950,2449601,4363703,1798823
196,6호선,상월곡,173796,2827141,1061698,1101763,1951405,846167
197,6호선,돌곶이,1041480,17358255,7020476,7740927,14014013,5220264
198,6호선,석계,3031125,39708683,18310387,20794034,39543337,16068024
199,2호선,종합운동장,1072322,26854331,13712594,17541956,32842095,15792468
200,3호선,옥수,697958,16271604,8343160,9788190,16730302,6347992
201,3호선,남부터미널,214831,13165579,7051240,8100569,14205223,4427373
202,분당선,구룡,142204,4025914,1636576,2115584,2726230,933349
203,안산선,오이도,1120487,16007842,7271291,8081694,14772962,5561149
204,경인선,역곡,3736990,54077998,21895435,24043185,48719288,19595721
205,경인선,송내,3570511,59264396,21142739,23006798,52644728,19703758
206,경인선,구일,648566,12737795,5308965,6535204,12515806,5227484
207,7호선,온수,567482,7784565,2718901,3038540,5948932,2670941
208,안산선,초지,475975,9776842,3471040,3637341,7249802,2228498
209,6호선,태릉입구,2256814,24822595,11831683,13345528,23721506,9572767
210,6호선,화랑대,276192,5531859,1801343,1959181,3610603,1581517
211,7호선,장암,176969,5198456,1146188,1306196,1988206,452886
212,7호선,도봉산,2163648,33876264,15437784,17256971,23773103,8873095
213,7호선,마들,1587070,24001913,9208486,9827096,17921913,7144509
214,4호선,노원,4082725,64439409,38850232,45978816,76734740,30309112
215,7호선,상봉,707466,8667377,3824001,4189755,8247278,3527940
