,Unnamed: 0,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
39,39.0,2022,4,전통시장,2130110,면목골목시장(면목시장),CS100004,양식음식점,49649704,37385245.0,12264459.0,5957776.0,8934546.0,6938574.0,8851675.0,6702674.0,8113839.0,4150620.0,0.0,489693.0,26717940.0,8209422.0,13691161.0,541488.0,22037372.0,25094650.0,1158145.0,12169947.0,11041010.0,11732597.0,8665938.0,2364384.0,4
40,40.0,2022,4,전통시장,2130106,중랑동부시장,CS100004,양식음식점,46665726,32412317.0,14253409.0,4556636.0,7083542.0,7892715.0,4476281.0,8403143.0,10548442.0,3704967.0,5009756.0,0.0,7998389.0,3958173.0,9007213.0,20692195.0,23178308.0,21471491.0,550246.0,10402568.0,21378530.0,5130335.0,4438724.0,2749397.0,4
41,41.0,2022,4,전통시장,2130100,답십리시장,CS100004,양식음식점,36407311,24067790.0,12339521.0,0.0,5328583.0,5791231.0,5924137.0,7023839.0,6827001.0,5512520.0,0.0,0.0,9799164.0,7733231.0,18796406.0,78510.0,18865424.0,15946452.0,401192.0,6789944.0,9645198.0,7559948.0,6582318.0,3833277.0,*
42,42.0,2022,4,전통시장,2130098,회기시장,CS100004,양식음식점,85079893,55469648.0,29610245.0,8844890.0,13024113.0,15028991.0,10890042.0,7681612.0,11287565.0,18322680.0,0.0,0.0,41756146.0,8264297.0,34044720.0,1014730.0,34007060.0,45822389.0,2050383.0,35876988.0,12799199.0,11191323.0,15515956.0,2395600.0,*
43,44.0,2022,4,전통시장,2130079,한아름시장,CS100004,양식음식점,104951268,60525747.0,44425521.0,12231067.0,10905656.0,9353683.0,11049293.0,16986048.0,24240147.0,20185374.0,0.0,0.0,20015978.0,28342532.0,49441365.0,7151393.0,44306447.0,57414435.0,10655296.0,53994553.0,12811526.0,12654831.0,10431949.0,1172725.0,*
44,45.0,2022,4,전통시장,2130078,화양제일골목시장,CS100004,양식음식점,60965542,35461066.0,25504476.0,6393144.0,625716.0,9205098.0,8477554.0,10759554.0,14494610.0,11009866.0,2021751.0,0.0,823506.0,3384563.0,33108389.0,21627333.0,41136026.0,19647789.0,3901125.0,33557911.0,11879839.0,4975145.0,5378863.0,1090932.0,5
45,46.0,2022,4,전통시장,2130070,뚝섬역상점가,CS100004,양식음식점,102047442,96332001.0,5715441.0,18240887.0,19311191.0,20939507.0,21767197.0,16073219.0,5715441.0,0.0,0.0,0.0,72817047.0,3503914.0,25726481.0,0.0,34357963.0,36224229.0,802495.0,14722042.0,18044929.0,22250560.0,10796351.0,3965816.0,3
46,47.0,2022,4,전통시장,2130069,"한양대앞상점가(한양시장, 왕십리맛골목)",CS100004,양식음식점,37761025,36710243.0,754102.0,5554965.0,9183458.0,7253093.0,7103781.0,7614946.0,155879.0,598223.0,296680.0,326347.0,14100076.0,7000429.0,14970661.0,1066832.0,26030642.0,11433703.0,1389682.0,28142573.0,2302658.0,1298675.0,4031714.0,299043.0,8
47,48.0,2022,4,전통시장,2130067,왕십리도선동상점가,CS100004,양식음식점,133261764,102076514.0,31185250.0,15582570.0,20478675.0,14403923.0,19334480.0,32276866.0,27076493.0,4108757.0,10537536.0,,16707552.0,5252106.0,54617586.0,46146984.0,54751589.0,67305378.0,2476118.0,50066466.0,48790701.0,8064276.0,9853683.0,2805723.0,5
48,49.0,2022,4,전통시장,2130066,행당시장상점가,CS100004,양식음식점,34666235,21431326.0,13152502.0,427105.0,5289085.0,4171590.0,3873202.0,7670344.0,7997985.0,5154517.0,1550451.0,0.0,82407.0,620180.0,19787262.0,12625935.0,25608388.0,5862837.0,0.0,5930408.0,7081263.0,6788540.0,6839557.0,4831457.0,8
