,Unnamed: 0.1,Unnamed: 0,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
1468,1543.0,114626,2022,1,발달상권,2120078,미아사거리역,CS100004,양식음식점,9901,5678.0,4223.0,1075.0,1073.0,1204.0,951.0,1375.0,2300.0,1923.0,0.0,21.0,2498.0,3067.0,4080.0,235.0,4413.0,5380.0,88.0,1905.0,3053.0,2924.0,1480.0,340.0,8
1469,1544.0,114711,2022,1,발달상권,2120076,수유역,CS100004,양식음식점,20785,14962.0,5823.0,2728.0,2941.0,3179.0,3068.0,3046.0,3045.0,2778.0,14.0,311.0,8609.0,4615.0,6769.0,467.0,9181.0,11425.0,353.0,4989.0,5400.0,4709.0,3707.0,1446.0,19
1470,1545.0,114744,2022,1,발달상권,2120075,월곡역,CS100004,양식음식점,9894,8852.0,1042.0,1803.0,1599.0,2037.0,1854.0,1559.0,1042.0,0.0,0.0,72.0,5717.0,1475.0,2630.0,0.0,3776.0,6035.0,312.0,3774.0,1844.0,1384.0,2223.0,275.0,7
1471,1546.0,114764,2022,1,발달상권,2120074,안암역,CS100004,양식음식점,6812,5009.0,1790.0,353.0,1184.0,1211.0,1208.0,1053.0,779.0,1011.0,0.0,13.0,2779.0,1084.0,2887.0,49.0,2801.0,3554.0,261.0,3047.0,1288.0,553.0,1012.0,193.0,8
1472,1547.0,114838,2022,1,발달상권,2120072,성신여대,CS100004,양식음식점,26694,19099.0,7595.0,3225.0,3686.0,4370.0,3897.0,3921.0,4444.0,3151.0,0.0,128.0,7681.0,6513.0,11452.0,920.0,11436.0,15146.0,1702.0,11577.0,4921.0,3995.0,3597.0,789.0,34
1473,1548.0,114901,2022,1,발달상권,2120070,한성대입구역,CS100004,양식음식점,10783,7973.0,2810.0,1283.0,1485.0,1054.0,1928.0,2223.0,1879.0,931.0,31.0,0.0,3931.0,1504.0,4517.0,800.0,3652.0,6175.0,62.0,3509.0,2459.0,2073.0,1317.0,406.0,6
1474,1549.0,114941,2022,1,발달상권,2120069,상봉역,CS100004,양식음식점,2255,1247.0,693.0,227.0,223.0,327.0,278.0,192.0,300.0,393.0,0.0,265.0,870.0,528.0,542.0,50.0,873.0,1039.0,21.0,404.0,584.0,490.0,275.0,138.0,13
1475,1550.0,115020,2022,1,발달상권,2120067,장안동사거리,CS100004,양식음식점,2724,1961.0,763.0,506.0,346.0,313.0,505.0,291.0,384.0,379.0,0.0,16.0,1077.0,643.0,983.0,5.0,1342.0,1233.0,137.0,515.0,597.0,725.0,413.0,188.0,11
1476,1551.0,115093,2022,1,발달상권,2120065,회기역,CS100004,양식음식점,15956,10157.0,5799.0,313.0,2414.0,2500.0,2465.0,2465.0,2743.0,3056.0,0.0,0.0,5555.0,2100.0,7953.0,35.0,9604.0,6039.0,89.0,3607.0,3870.0,3460.0,3321.0,1296.0,*
1477,1552.0,115121,2022,1,발달상권,2120064,경희대학교(경희대),CS100004,양식음식점,12580,8875.0,3705.0,1527.0,1696.0,1970.0,1905.0,1777.0,2088.0,1617.0,0.0,6.0,5026.0,3054.0,4140.0,354.0,4826.0,6426.0,279.0,5703.0,2051.0,1071.0,1807.0,342.0,18
