기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,전통시장,2130183,상암동상점가,CS100009,호프-간이주점,49784,39895,9889,5794,7844,8393,8981,8883,6615,3274,10749,5,2341,312,10979,25398,26981,14495,398,11117,13566,9540,5553,1301,38
2022,4,전통시장,2130182,영천시장,CS100009,호프-간이주점,2322,1728,594,215,389,313,306,505,527,67,313,,,,967,1042,1100,892,8,488,736,414,281,66,4
2022,4,전통시장,2130181,아현가구거리상점가,CS100009,호프-간이주점,1252,813,439,139,150,214,160,150,353,86,64,,,54,482,652,842,345,,64,97,250,443,334,*
2022,4,전통시장,2130180,포방터시장,CS100009,호프-간이주점,418,272,146,29,58,67,52,66,81,65,74,,,,133,211,322,96,,66,73,147,95,37,3
2022,4,전통시장,2130179,"이화여대 3,5,7길 상점가",CS100009,호프-간이주점,3706,2894,812,470,448,600,637,739,671,141,157,,,14,1183,2352,630,3076,221,2599,291,218,285,92,3
2022,4,전통시장,2130178,이대 앞 스타트업 상점가,CS100009,호프-간이주점,2857,2452,405,433,451,551,599,418,395,10,52,,,10,1389,1406,243,2614,345,2160,105,90,109,48,*
2022,4,전통시장,2130177,인왕시장(홍제골목형상점가),CS100009,호프-간이주점,2189,1802,387,334,447,296,292,433,335,52,44,,39,219,1301,586,1453,563,5,118,260,303,617,712,8
2022,4,전통시장,2130172,모래내시장(서중시장),CS100009,호프-간이주점,151,82,69,7,33,28,7,7,21,48,,,,7,63,74,116,28,,,14,7,33,90,4
2022,4,전통시장,2130171,불광먹자골목 골목형상점가,CS100009,호프-간이주점,8842,5371,3471,1049,1013,978,1040,1291,1608,1863,1076,,117,351,3297,4001,6395,2125,,453,937,1225,2806,3101,17
2022,4,전통시장,2130170,제일시장,CS100009,호프-간이주점,787,523,264,106,129,128,74,86,160,104,203,,,,227,357,572,215,,64,126,127,279,191,*
2022,4,전통시장,2130169,대조시장,CS100009,호프-간이주점,5673,3904,1769,339,788,964,876,937,944,825,626,,35,155,1946,2911,3586,2016,,1073,1475,1088,1182,786,9
2022,4,전통시장,2130168,연서시장,CS100009,호프-간이주점,365,272,93,62,51,30,56,73,48,45,,,99,183,74,9,324,41,6,,11,,57,291,8
2022,4,전통시장,2130167,연신내상점가(연빛거리),CS100009,호프-간이주점,86658,50685,35973,10019,9076,9475,8858,13257,20893,15080,30629,1313,963,1254,16201,36298,53289,32932,2102,36797,20049,12075,10375,4824,66
2022,4,전통시장,2130166,응암시장(신응암시장),CS100009,호프-간이주점,1347,918,429,61,409,163,122,163,327,102,265,20,225,307,449,81,613,714,183,388,184,203,307,61,*
2022,4,전통시장,2130163,응암오거리상점가,CS100009,호프-간이주점,24230,14878,9352,2916,2714,2967,2686,3595,5407,3945,8964,395,,48,4176,10647,16646,7511,298,7508,6336,5501,3334,1182,24
2022,4,전통시장,2130162,증산골목시장,CS100009,호프-간이주점,365,259,106,66,48,49,29,67,29,77,48,,,,134,183,326,20,,10,10,29,105,192,3
2022,4,전통시장,2130157,상계중앙시장,CS100009,호프-간이주점,623,389,234,45,92,58,78,116,149,85,117,,95,71,155,185,541,82,,8,59,16,267,273,7
2022,4,전통시장,2130154,상계주공1단지(가)상가,CS100009,호프-간이주점,1440,912,528,137,215,197,225,138,343,185,244,,6,78,570,542,915,501,6,92,403,470,313,133,*
2022,4,전통시장,2130153,창동역상점가,CS100009,호프-간이주점,23877,15167,8710,2428,2598,2733,2960,4448,5397,3313,3954,50,212,848,7648,11165,16199,7283,141,3761,4497,4545,5753,4785,22
2022,4,전통시장,2130152,오!도봉거리 상점가,CS100009,호프-간이주점,1948,1270,678,241,268,301,195,265,426,252,379,,11,58,594,906,1544,404,,60,263,130,728,767,8
2022,4,전통시장,2130150,창동골목시장,CS100009,호프-간이주점,3386,2244,1142,427,424,458,435,500,639,503,1122,,,16,886,1362,2189,1165,28,506,814,793,811,403,8
2022,4,전통시장,2130149,창동신창시장,CS100009,호프-간이주점,707,516,191,82,190,109,27,108,137,54,,,54,27,518,108,652,27,,,,299,136,246,*
2022,4,전통시장,2130148,방학동도깨비시장,CS100009,호프-간이주점,2272,1963,309,343,276,379,449,516,241,68,586,,,,344,1342,1808,395,,180,682,214,880,247,*
2022,4,전통시장,2130147,쌍문역동측상점가,CS100009,호프-간이주점,2945,1935,1010,386,440,288,374,447,545,465,624,,,,900,1421,1949,996,30,797,840,501,513,264,3
2022,4,전통시장,2130146,쌍문시장(쌍문역골목시장),CS100009,호프-간이주점,11753,7576,4177,1274,1380,1421,1427,2074,2585,1592,2948,,71,172,2477,6085,7920,3727,126,3230,2329,2226,2410,1326,9
2022,4,전통시장,2130145,쌍문역둘리상점가,CS100009,호프-간이주점,3433,2286,1147,406,410,485,445,540,747,400,545,,,46,903,1939,2084,1328,15,911,911,830,541,205,3
2022,4,전통시장,2130143,방천골목시장,CS100009,호프-간이주점,743,474,269,16,64,190,125,79,173,96,175,,,,159,409,474,159,,47,96,126,285,79,3
2022,4,전통시장,2130142,강북북부시장,CS100009,호프-간이주점,323,206,117,52,64,26,51,13,65,52,26,,,,77,220,26,297,,129,,168,13,13,*
2022,4,전통시장,2130141,강북북부골목시장,CS100009,호프-간이주점,675,460,215,7,185,90,119,59,178,37,,,,37,459,179,355,201,,37,7,114,118,280,3
2022,4,전통시장,2130140,숭인시장,CS100009,호프-간이주점,5584,3684,1900,659,582,917,772,754,1146,754,534,49,30,248,2357,2366,3628,1784,58,375,797,1216,1921,1046,7
2022,4,전통시장,2130139,강북종합전통시장(강북종합골목시장),CS100009,호프-간이주점,3120,1981,1139,148,281,488,556,508,808,331,361,,117,130,1121,1391,1930,1075,6,237,517,1008,742,496,11
2022,4,전통시장,2130137,"수유전통시장(수유시장, 수유골목시장)",CS100009,호프-간이주점,1405,971,434,221,328,176,94,152,211,223,,82,316,433,445,129,1381,24,,71,24,48,188,1074,3
2022,4,전통시장,2130135,수유중앙골목시장(수유중앙시장),CS100009,호프-간이주점,1931,1193,738,224,237,170,237,325,453,285,806,,,,291,834,1204,727,21,708,480,325,272,125,5
2022,4,전통시장,2130134,"솔샘시장(미아6,7동골목시장)",CS100009,호프-간이주점,227,140,87,36,17,34,36,17,17,70,17,,,17,105,52,173,18,,,,,87,104,3
2022,4,전통시장,2130131,동북프라자,CS100009,호프-간이주점,428,286,142,62,75,24,63,62,69,73,,,37,62,169,98,331,35,,,,,256,110,*
2022,4,전통시장,2130128,돌곶이시장(석관황금시장),CS100009,호프-간이주점,720,588,132,130,33,33,228,164,66,66,,,99,65,262,261,425,229,,163,130,196,99,66,3
2022,4,전통시장,2130125,장위전통시장,CS100009,호프-간이주점,219,121,98,41,16,40,16,8,58,40,56,,,16,49,98,179,40,,16,32,25,81,65,*
2022,4,전통시장,2130121,길음시장,CS100009,호프-간이주점,3100,2454,646,496,347,492,457,662,449,197,582,,159,223,1160,976,2090,931,35,522,441,851,685,487,5
2022,4,전통시장,2130120,돈암시장(돈암제일시장),CS100009,호프-간이주점,5332,4103,1229,722,821,770,771,1019,730,499,402,13,726,241,1613,2337,3791,1127,27,587,1178,585,1536,1005,8
2022,4,전통시장,2130119,정릉아리랑시장,CS100009,호프-간이주점,1294,877,417,117,91,209,192,268,351,66,8,,184,192,760,150,786,508,25,152,449,314,194,160,3
2022,4,전통시장,2130118,정릉골 골목형상점가,CS100009,호프-간이주점,2426,1586,840,365,288,303,260,370,356,484,895,,,,396,1135,1713,701,62,770,309,403,679,190,3
2022,4,전통시장,2130117,정릉시장,CS100009,호프-간이주점,3034,2156,878,355,335,468,547,451,563,315,741,,136,85,785,1287,2156,838,51,592,802,528,638,383,9
2022,4,전통시장,2130115,우림골목시장,CS100009,호프-간이주점,4955,3180,1775,546,606,539,606,883,1029,746,784,,71,342,1568,2190,3478,1477,9,745,969,952,1260,1020,16
2022,4,전통시장,2130112,사가정시장,CS100009,호프-간이주점,6543,4317,2226,802,891,768,712,1144,1150,1076,150,156,531,916,3232,1558,4547,1921,7,421,1017,793,1741,2489,14
