,index,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
1102,1102,2022,2,발달상권,2120202,압구정로데오역(압구정로데오),CS100003,일식음식점,3051416244,2020599667.0,1030816577.0,226892330.0,368325683.0,435598598.0,371577506.0,618205550.0,686210970.0,344605607.0,492153757.0,0.0,212995901.0,81169360.0,740044604.0,1525052622.0,1414136518.0,1085958501.0,3683917.0,855582261.0,1064110981.0,338453131.0,168315163.0,69949561.0,35
1103,1103,2022,2,발달상권,2120200,학동사거리,CS100003,일식음식점,4807760259,3528142282.0,1263639044.0,607937344.0,644370465.0,663551470.0,742273627.0,870009376.0,854565428.0,409073616.0,259406368.0,15978933.0,587298824.0,309822516.0,1770684677.0,1864568941.0,1953986135.0,1185786985.0,5322635.0,565210106.0,1211628570.0,573866062.0,525426033.0,258319716.0,41
1104,1104,2022,2,발달상권,2120198,구역삼세무서,CS100003,일식음식점,455841267,427231514.0,27781042.0,67716296.0,102250514.0,74569679.0,89817006.0,92878019.0,26568710.0,1212332.0,11553199.0,0.0,157058860.0,27258364.0,129448987.0,129693146.0,106200519.0,53780223.0,828711.0,18767791.0,43675061.0,30823081.0,32203512.0,34511294.0,16
1105,1105,2022,2,발달상권,2120197,역삼역,CS100003,일식음식점,4813380122,4413525397.0,399854725.0,765010163.0,930687962.0,874854023.0,949613018.0,893360231.0,319268206.0,80586519.0,104775409.0,44500986.0,1786306879.0,264026759.0,1473186971.0,1140583118.0,1780187977.0,888749372.0,1864736.0,440503759.0,834306003.0,649741690.0,393343610.0,349177554.0,63
1106,1106,2022,2,발달상권,2120196,서울세관,CS100003,일식음식점,812048210,627802543.0,184245667.0,122004626.0,145861370.0,126388320.0,108638512.0,124909715.0,104392307.0,79853360.0,0.0,381257.0,241472868.0,84813418.0,368040431.0,117340236.0,301923734.0,130623879.0,789398.0,36285888.0,83241278.0,136580095.0,103437215.0,72213738.0,7
1107,1107,2022,2,발달상권,2120195,성수대교남단,CS100003,일식음식점,572484701,469969655.0,102515046.0,75768190.0,106903101.0,95411718.0,110727289.0,81159357.0,83430861.0,19084185.0,0.0,0.0,149803932.0,22429513.0,248845172.0,132321899.0,208075462.0,110824597.0,0.0,17003258.0,84883584.0,72782745.0,39781241.0,104449229.0,18
1108,1108,2022,2,발달상권,2120194,언주역(차병원),CS100003,일식음식점,128663326,125242746.0,3059206.0,23710910.0,35677257.0,15005508.0,21300536.0,29548535.0,3059206.0,0.0,0.0,0.0,67417942.0,6698899.0,13534842.0,40650269.0,33045355.0,17246891.0,361374.0,10063043.0,20736521.0,7597733.0,9121609.0,2773340.0,8
1109,1109,2022,2,발달상권,2120193,도산공원교차로,CS100003,일식음식점,1565424097,1205918735.0,359158110.0,229205668.0,243575733.0,242221639.0,203229411.0,287686284.0,195226175.0,163931935.0,4880268.0,347252.0,219970159.0,118213115.0,638106144.0,583907159.0,612646047.0,290320493.0,729491.0,139693160.0,249809205.0,211009936.0,181691920.0,120032828.0,16
1110,1110,2022,2,발달상권,2120192,뱅뱅사거리,CS100003,일식음식점,651432247,572815952.0,78178629.0,95378479.0,91269582.0,124393532.0,157755432.0,104018927.0,47487322.0,30691307.0,11688322.0,437666.0,210319026.0,43444355.0,201623619.0,183919259.0,254418441.0,95885831.0,601790.0,41509823.0,123520714.0,68925018.0,53350169.0,62396758.0,24
1111,1111,2022,2,발달상권,2120191,학동역,CS100003,일식음식점,853384239,785607849.0,67776390.0,115423411.0,163760040.0,172296662.0,159798070.0,174329666.0,63185262.0,4591128.0,57213450.0,1252039.0,296862644.0,26677164.0,211475586.0,259903356.0,339463609.0,239147498.0,5266301.0,150991175.0,186864093.0,107924491.0,84263652.0,43301395.0,16
1112,1112,2022,2,발달상권,2120190,강남을지병원,CS100003,일식음식점,1603132845,1329710939.0,273421906.0,236530136.0,202530610.0,362773028.0,253147717.0,274729448.0,208809422.0,64612484.0,92743713.0,0.0,137112250.0,41741262.0,623052528.0,708483092.0,731956750.0,377134739.0,499855.0,212472295.0,431832909.0,252372036.0,139210378.0,72704015.0,25
1113,1113,2022,2,발달상권,2120189,강남역,CS100003,일식음식점,8649597905,6674223339.0,1975374566.0,1147281060.0,1267093794.0,1303935138.0,1358700533.0,1597212814.0,1275238556.0,700136010.0,129116131.0,58175812.0,2528185124.0,1059398595.0,3035056299.0,1839665944.0,4053484424.0,2704092318.0,87219474.0,2247356330.0,2125857539.0,1024949501.0,877126981.0,395066918.0,83
