,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
685,2022,3,발달상권,2120096,"이화여대(이대역, 이대)",CS100003,일식음식점,8851,6508,2343,1014.0,1255.0,1426.0,1398.0,1415.0,1187.0,1156.0,45.0,13.0,3512.0,475.0,4306.0,500.0,2357,5935,221.0,4270.0,1710.0,806.0,961.0,328.0,13
686,2022,3,발달상권,2120095,홍제역,CS100003,일식음식점,1409,971,438,163.0,225.0,143.0,225.0,215.0,245.0,193.0,276.0,0.0,0.0,0.0,296.0,837.0,888,490,0.0,387.0,266.0,337.0,286.0,103.0,6
687,2022,3,발달상권,2120094,"신촌역(신촌역, 신촌로터리)",CS100003,일식음식점,76444,57045,19399,8216.0,10889.0,12327.0,11901.0,13712.0,11504.0,7895.0,896.0,38.0,27100.0,9249.0,32509.0,6652.0,37512,36318,1598.0,35692.0,14464.0,6840.0,11722.0,3517.0,53
688,2022,3,발달상권,2120093,연희동,CS100003,일식음식점,11259,8077,3182,1394.0,1523.0,1658.0,1590.0,1912.0,1868.0,1314.0,399.0,26.0,3339.0,1844.0,4832.0,819.0,4105,6393,145.0,4796.0,2266.0,1380.0,1486.0,425.0,12
689,2022,3,발달상권,2120091,본서부병원,CS100003,일식음식점,1209,765,444,0.0,221.0,183.0,153.0,208.0,237.0,207.0,0.0,0.0,617.0,99.0,493.0,0.0,567,588,0.0,275.0,433.0,263.0,148.0,35.0,4
690,2022,3,발달상권,2120090,연신내역,CS100003,일식음식점,3439,2230,1209,501.0,416.0,417.0,466.0,430.0,646.0,563.0,1103.0,0.0,0.0,47.0,791.0,1545.0,1859,1580,13.0,1725.0,1160.0,357.0,147.0,37.0,4
691,2022,3,발달상권,2120089,구파발역,CS100003,일식음식점,3650,2680,970,,738.0,583.0,699.0,660.0,543.0,427.0,,,1048.0,504.0,1904.0,194.0,1748,1786,78.0,971.0,932.0,621.0,698.0,234.0,3
692,2022,3,발달상권,2120088,구산역,CS100003,일식음식점,3534,2759,775,492.0,526.0,582.0,588.0,571.0,365.0,410.0,0.0,0.0,1378.0,300.0,1536.0,320.0,1408,1996,85.0,530.0,460.0,903.0,858.0,566.0,*
693,2022,3,발달상권,2120087,응암역,CS100003,일식음식점,4185,3255,930,546.0,638.0,579.0,636.0,856.0,706.0,224.0,537.0,51.0,448.0,493.0,1481.0,1175.0,2221,1912,24.0,737.0,711.0,844.0,1187.0,632.0,6
694,2022,3,발달상권,2120086,태릉입구역,CS100003,일식음식점,5027,4392,635,672.0,934.0,898.0,898.0,990.0,587.0,48.0,220.0,6.0,1759.0,586.0,1932.0,524.0,2541,2119,55.0,1332.0,1569.0,702.0,678.0,324.0,8
