,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
4092,2,전통시장,2130102,이문제일시장,1,,,,,,,,,
4093,2,골목상권,2110979,청담초등학교,1,,,,,,,,,
4094,2,전통시장,2130014,동문시장,1,,,,,1.0,,,,
4095,2,골목상권,2110961,언주역 3번,1,1.0,,,,,,,,
4096,2,골목상권,2110070,용산세무서,1,,,,,,,,,
4097,2,전통시장,2130029,명동역지하도상가,1,,,,,,,,,
4098,2,전통시장,2130071,성수역 골목형상점가,3,,1.0,,,,,,,
4099,2,골목상권,2110317,종암중학교,5,,,,,,,,,
4100,2,전통시장,2130190,홍대소상공인상점가,2,1.0,,,,,,,,
4101,2,골목상권,2110872,신림초등학교,2,,,,,,,,,
4102,2,골목상권,2110964,싸리고개근린공원,2,1.0,,,,,,,,
4103,2,전통시장,2130006,종로4가지하쇼핑센터,1,,,,,,,,,
4104,2,골목상권,2110505,홍남교남측,1,,,,,,,,,
4105,2,골목상권,2110447,구산초등학교,4,,,,,,,,,
4106,2,골목상권,2110543,중암중학교,1,,,,,,,,,
4107,2,전통시장,2130108,태능엔터피아(태릉시장),1,,,,,,,,,
4108,2,골목상권,2110853,KT구로지사,2,,,,,,,,,
4109,2,골목상권,2110383,덕성여대시반거리,3,,1.0,,,,,,,
4110,2,골목상권,2110719,영서중학교,1,,,,,,,,,
4111,2,골목상권,2110593,신월3동주민센터,17,2.0,1.0,,,,,,,
4112,2,전통시장,2130171,불광먹자골목 골목형상점가,30,,2.0,,,,,,,
4113,2,골목상권,2110460,구산역 4번,44,1.0,1.0,,,,,,,
4114,2,발달상권,2120088,구산역,36,,1.0,,,,,,,
4115,2,전통시장,2130162,증산골목시장,2,,,,,,,,,
4116,2,골목상권,2110451,증산역 4번,16,,,,,1.0,,,,
4117,2,발달상권,2120114,목동신시가지,89,10.0,13.0,,,,,,,
4118,2,골목상권,2110627,신정롯데캐슬아파트,15,,1.0,,,,,,,
4119,2,발달상권,2120121,까치산역,38,,,,,,,,,
4120,2,골목상권,2110636,방화역 2번,14,1.0,,,,,,,,
4121,2,발달상권,2120187,신논현역,154,3.0,7.0,,,,,,,
4122,2,발달상권,2120132,독산동,106,2.0,7.0,,,,,,,
4123,2,발달상권,2120185,논현역,105,1.0,7.0,,,1.0,,,,
4124,2,발달상권,2120125,구로역,70,2.0,8.0,,1.0,8.0,,,,
4125,2,골목상권,2110730,서울축산농협 독산역지점(독산파출소),13,,,,,,,,,
4126,2,발달상권,2120123,오류동역,60,1.0,4.0,,,,,,,
4127,2,골목상권,2110693,오류동역 4번,5,,,,,,,,,
4128,2,골목상권,2110690,오류2동버들시장,49,1.0,1.0,,,,,,,
4129,2,골목상권,2110755,동일여자고등학교,21,1.0,,,,,,,,
4130,2,골목상권,2110751,난곡중학교,3,,,,,,,,,
4131,2,전통시장,2130234,푸른터시장(기능상실),1,,,,,1.0,,,,
4132,2,전통시장,2130261,성대전통시장(성대시장),30,1.0,2.0,,,1.0,,,,
4133,2,골목상권,2110847,예술인마을,4,,,1.0,,,,,,
4134,2,발달상권,2120186,가로수길,42,2.0,4.0,,,,,,,
4135,2,발달상권,2120191,학동역,65,4.0,6.0,,,,,,,
4136,2,전통시장,2130303,영동전통시장,5,,,,,,,,,
4137,2,발달상권,2120012,대학로(혜화역),62,1.0,5.0,4.0,,,,,,
4138,2,발달상권,2120039,신당역,55,3.0,5.0,,,,,,,
4139,2,발달상권,2120237,경찰병원역,57,2.0,3.0,,,,,,,
4140,2,골목상권,2110200,동대문경찰서,8,,,,,,,,,
4141,2,발달상권,2120063,청량리역(청량리),84,3.0,4.0,,,,,,,
4142,2,발달상권,2120224,수서역,40,,3.0,,,,,,,
4143,2,골목상권,2111015,석촌역 3번,18,2.0,,,,,,,,
4144,2,골목상권,2111006,석촌고분역 1번,18,,,,,,,,,
4145,2,발달상권,2120228,석촌역(석촌호수),81,,6.0,,,,,,,
