기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,발달상권,2120183,양재천카페거리,CS100006,패스트푸드점,1370,1140,230,187,243,286,237,187,92,138,,282,473,212,367,36,686,467,,145,313,150,257,287,5
2022,4,발달상권,2120180,양재화물트럭터미널앞,CS100006,패스트푸드점,2978,2764,214,516,553,627,537,531,107,107,,483,1510,697,181,,1691,319,5,181,398,590,320,516,*
2022,4,발달상권,2120179,양재역,CS100006,패스트푸드점,67028,52104,14924,8996,10567,10537,10925,11079,8392,6532,20,12997,19986,10442,18617,4966,36011,26762,1258,16256,19631,12530,7662,5438,24
2022,4,발달상권,2120178,신사역,CS100006,패스트푸드점,29402,23414,5988,4527,5045,4916,4598,4328,3608,2380,,2471,9837,5695,10584,815,9156,16893,958,10594,7034,3722,2855,885,8
2022,4,발달상권,2120176,논현역 4번,CS100006,패스트푸드점,1474,960,514,123,133,146,245,313,313,201,,,279,223,693,279,714,558,11,112,167,391,447,145,*
2022,4,발달상권,2120175,남부터미널역,CS100006,패스트푸드점,73427,52905,20522,9591,10384,9685,10536,12709,10652,9870,,3981,20866,13583,25680,9317,39904,30285,2655,19134,18974,13562,10054,5806,12
2022,4,발달상권,2120173,교대역(법원.검찰청),CS100006,패스트푸드점,89490,70553,18937,12801,14665,14538,14362,14187,9831,9106,,12854,32341,13063,27332,3900,41115,35055,1579,20283,22817,14684,10767,6043,28
2022,4,발달상권,2120172,교대입구교차로,CS100006,패스트푸드점,18172,15860,2312,2923,3379,3238,3203,3117,1455,857,,3380,8979,2579,3163,71,7272,7055,326,4003,2797,3397,2675,1134,11
2022,4,발달상권,2120170,삼호가든사거리,CS100006,패스트푸드점,1953,1125,828,155,214,176,203,377,454,374,,22,510,435,937,49,957,794,22,85,204,535,479,428,5
2022,4,발달상권,2120169,서초역,CS100006,패스트푸드점,17647,12620,5027,2082,2525,2532,2704,2777,2087,2940,22,3462,7594,2524,4045,,7715,7468,403,2811,4281,3692,2951,1043,6
2022,4,발달상권,2120167,고속터미널(고속터미널역),CS100006,패스트푸드점,65573,44387,21186,8845,7772,8027,8640,11103,11768,9418,,6483,19462,18352,21276,,32629,32217,1019,17934,16171,12601,10965,6154,9
2022,4,발달상권,2120166,방배역,CS100006,패스트푸드점,98071,77626,20445,14338,15523,16255,15859,15651,13190,7255,3393,15431,29072,17619,24662,7894,47583,47709,5085,24987,22631,19963,16745,5884,18
2022,4,발달상권,2120165,서래마을카페거리(서래마을),CS100006,패스트푸드점,3219,2234,985,423,359,343,484,625,266,719,,16,1453,579,1171,,1640,1063,16,438,735,657,469,391,4
2022,4,발달상권,2120164,내방역,CS100006,패스트푸드점,6113,4829,1284,763,776,1055,1006,1229,569,715,,289,2231,1122,2152,319,2027,3287,27,847,899,913,995,1631,6
2022,4,발달상권,2120162,방배동카페골목,CS100006,패스트푸드점,26181,18675,7506,3555,3798,3583,3853,3886,4133,3373,,1225,9914,5029,8743,1270,14275,10570,430,3886,5078,8628,4277,2544,5
2022,4,발달상권,2120160,사당역(사당),CS100006,패스트푸드점,8801,6530,2271,1093,1200,1442,1368,1427,1300,971,,20,2305,1621,4238,617,5019,3696,375,3834,2396,1015,836,262,13
2022,4,발달상권,2120159,서울대입구역,CS100006,패스트푸드점,62600,48752,13848,9463,10319,9523,9896,9551,8322,5526,174,3571,12464,9298,24065,13028,32915,28451,1292,24833,17879,7479,6922,2962,20
2022,4,발달상권,2120158,녹두거리(대학동),CS100006,패스트푸드점,54956,38446,16510,7339,7859,7909,7706,7633,8819,7691,926,2694,12189,8690,21020,9437,36416,18414,773,16001,15622,9834,8300,4300,16
2022,4,발달상권,2120157,신림역(신림),CS100006,패스트푸드점,185867,127255,58612,25467,24932,24781,25598,26477,30480,28132,13335,18784,34019,28914,58674,32141,113323,72544,4220,72352,57396,25251,18971,7677,14
2022,4,발달상권,2120156,"총신대입구역(이수, 총신대)",CS100006,패스트푸드점,25935,17701,8234,2613,3536,3594,3706,4252,5024,3210,20,2198,8902,5086,9532,197,10824,14151,507,7581,7139,4267,3558,1926,19
2022,4,발달상권,2120154,장승배기역,CS100006,패스트푸드점,2173,1759,414,255,492,303,327,382,207,207,,,501,717,748,,782,1184,56,675,630,338,162,105,*
2022,4,발달상권,2120153,노량진역(노량진),CS100006,패스트푸드점,190315,135671,54644,26613,26435,27673,27469,27481,30828,23816,9343,22681,49323,23494,59396,26078,110608,79480,3559,78333,48259,19574,30662,9699,27
