,상권코드,상권코드명,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
279,2110164,아차산역 5번,90986,505318,271748,337732,497941,195345
280,2111032,방이역 1번,23494,493788,242808,295382,501938,187812
281,2110677,등촌역 1번,76960,1163049,513328,579194,939308,303634
282,2110699,덕의초등학교,25962,295747,149610,182443,266510,107311
283,2111015,석촌역 3번,103971,1574032,835476,960131,1650355,618751
284,2110814,서울지방병무청,36910,667954,329998,416149,581445,242306
285,2110826,장승배기역 4번,87893,1059302,557108,642717,999577,385366
286,2110177,동의초등학교,26205,226019,122863,157505,226580,89310
287,2110623,갈산공원,3917,49560,24355,29471,44393,20423
288,2110111,대현산장미원,20449,371799,187913,234126,333738,127515
289,2111006,석촌고분역 1번,45435,758566,338369,407587,700714,277211
290,2110047,다산성곽길,85969,1621029,889699,1034162,1612174,538714
291,2111004,삼전역 1번,49889,745396,319667,384667,690678,277274
292,2110967,역삼역 8번,122689,3782693,1181909,1401458,3162152,810264
293,2110555,홍익지구대,229736,3208550,1990848,2401703,4383955,1719942
294,2110575,대흥동주민센터,192194,3251395,2272159,2563142,3939217,1636855
295,2110050,약수역 7번,79645,1156520,603844,719104,1154004,422303
296,2110649,우장산역 1번,60708,1117601,574124,710411,994026,353221
297,2110168,대원고등학교,48793,797159,319313,391087,653578,221719
298,2110580,양원초등학교,69571,1193531,762303,832632,1196509,474710
299,2110661,강서새말어린이공원,42315,538435,276627,315588,456273,183264
300,2110106,금북초등학교,31539,745652,364247,457378,692155,245674
301,2110174,아차산역 1번,63878,557861,303384,372005,520030,196895
302,2110540,망원나들목체육관,10898,181856,90902,113785,177071,74414
303,2110557,홍대부속여중고앞,13735,321936,185224,235757,349032,127381
304,2111070,천호초등학교,2315,132154,64435,74770,104075,38520
305,2110051,한양공고앞 교차로,95499,797198,389900,443780,720510,267257
306,2110624,목동문화체육센터,8902,244377,125961,152997,231102,107224
307,2111084,길동신동아아파트,4352,74365,30884,38588,56121,22096
308,2110101,옥정중학교,29950,785767,423019,531572,794336,273712
309,2110559,성산중학교,226538,2831092,1753558,2110245,4012278,1675780
310,2110170,동대부여고,21034,354537,165569,219545,299414,123435
311,2110159,구의역 4번,58334,731311,351528,415851,648312,261844
312,2111083,GS강동자이아파트,8642,127802,56275,66615,91302,32737
313,2110134,성수119안전센터,47893,294784,137005,175889,278989,119823
314,2111007,석촌고분역 4번,31295,559686,233275,280191,494282,183410
315,2111009,송파책박물관,11706,177589,76789,101576,149172,64010
316,2110075,숙대입구역 1번,90098,1007719,531323,603344,874621,364315
317,2110563,상수역 3번,38995,464893,338071,390179,674405,310371
318,2110120,서울숲카페거리,23389,104370,81280,117417,145438,48208
319,2110567,광흥창역 6번,8419,236029,106208,125258,223557,71094
320,2110179,광나루역 1번,16465,177987,89864,116708,154763,59380
321,2110217,자동차부품상가,76209,614865,294564,353345,581044,213274
322,2111051,천호역 6번,78163,424985,256518,328828,501860,221074
323,2110065,남정초등학교,50338,1130578,533860,617465,1010607,334845
324,2110579,마포역 4번,38602,1060257,455787,510351,1056749,352260
325,2110173,구남초등학교,12342,372765,188638,235254,385640,146682
326,2110095,한강진역 3번,93897,1229569,661953,822750,1347789,514186
327,2110076,삼각지역 14번,74532,1006819,555448,669823,1154808,446189
328,2110034,창신1동주민센터,287833,1514769,1369833,1546723,1427037,547221
329,2110843,사당5동주민센터,41370,909357,412306,452841,745124,281850
330,2110599,신월1파출소,41738,323794,140132,159925,251789,102316
331,2111056,천호태영아파트,123237,1425621,681283,806607,1331622,471122
332,2110140,건대입구역 6번,246406,2493262,1559407,1981049,3530027,1539552
333,2110667,가양역 10번,112628,1721576,772856,917325,1512354,512272
334,2110844,흑석2치안센터,20166,193715,98569,116279,180535,76861
335,2111012,석촌역 6번,89262,1211653,639729,743814,1236405,473570
336,2110268,망우3동주민센터,54086,482688,214501,266286,387090,133668
337,2110543,중암중학교,105922,2398375,736481,896413,2088533,569184
338,2110086,이태원역 북측,95556,687644,472130,632156,1081665,502781
339,2111020,방이동고분군(방산고등학교),16674,225612,108159,134765,202944,87477
340,2110793,대림썬프라자,92920,1103556,452097,519987,871875,305863
341,2110099,유엔빌리지길,25803,198020,105935,133674,223157,100829
342,2110058,성심여자고등학교,16753,357304,157747,200640,342401,124580
343,2110593,신월3동주민센터,44495,406734,202192,229632,315489,122828
344,2110176,해오름공원,15141,255613,134260,160710,224553,81923
345,2110040,중구회현체육센터(정화예술대남산캠퍼스),28438,281786,231548,267015,288204,89992
346,2111008,석촌고분역 3번,31459,570027,236874,283490,505269,186781
347,2110118,왕십리역 9번,78314,655360,389320,476589,681888,287349
348,2111063,강동구립 천호도서관,86919,1309527,570583,656950,1109970,377941
349,2110133,서울교통공사,64667,490214,235109,279604,467401,173460
350,2110721,가리봉파출소,94978,741127,320086,380573,657764,225694
351,2110888,청룡동주민센터,124369,1676738,730597,840798,1425626,563931
